method,iteration,PSNR_noisy,PSNR_gt,SSIM_gt,SSIM_noisy,DSSIM,loss
eager_fft,0,15.490444906158897,15.624516866347019,0.15010104,0.12957156,0.001229595249852272,942.7469482421875
custom_cuda,0,16.596916070030638,16.774684848803197,0.16701226,0.14243115,0.00098747216802547,942.7469482421875
