method,iteration,PSNR_noisy,PSNR_gt,SSIM_gt,SSIM_noisy,DSSIM,loss
eager_fft,0,15.287130243996039,15.408366126947355,0.22700156,0.1915666,-0.0006392832640692052,375.2298889160156
custom_cuda,0,15.771515357712358,15.90863441087286,0.23708476,0.1995797,-0.0005991789774401744,339.12286376953125
